Column title,Description,Unit,,,
EventID,Event ID,,,,
SampleID,"Sample ID, harmonised over all OSD years",,,,
MaterialSampleID,The sample ID as used during the OSD event itself,,,,
DateTime,Start date and time of the event,,,,
Latitude,Latitude of the station,decimal degree,,,
Longitude,Longitude of the station,decimal degree,,,
environment (biome),ENVO type for the biome sampled,,,,
environment (material),ENVO type for the material sampled,,,,
environment (feature),ENVO type for the feature sampled,,,,
project name,Name of the project,,,,
Marine Region,URL of the Marine Region of the sampling site,,,,
SiteID,Site ID (site details provided on the OSDStations spreadsheet),,,,
Sampling Platform,Name or type of the sampling platform,,,,
Depth,Depth of the water sampled ,metre,,,
Protocol Label,"OSD protocol used (NPL022 = Protocol A, NE08 = Protocol B)",,,,
Temperature,Temperature of the sampled water,centigrade,,,
Salinity,Salinity of the sampled water,PSU,,,
Sampling Campaign,Sampling campaign name,,,,
SAMPLE_Objective,Objective comments,,,,
EVENT_Device,Sampling device,,,,
EVENT_Method,Sampling method,,,,
EVENT_Comment,Event comments,,,,
SAMPLE_Quantity,Quantity of sampled water,litre,,,
SAMPLE_FiltrationTime,Filtration time,minute,,,
SAMPLE_Container,Container used for the sampling,,,,
SAMPLE_Content,Content comments,,,,
SAMPLE_Size-Fraction_UpperThreshold,Mesh size upper limit for pre-filtration (larger material is excluded),micrometre,,,
SAMPLE_Size-Fraction_LowerThreshold,Mesh size lower limit for pre-filtration (smaller material are excluded),micrometre,,,
SAMPLE_Treatment_Chemicals,Treatment chemicals added to the sample,,,,
SAMPLE_Treatment_Storage,Storage temperature or type,celcius,,,
CTD_Conductivity,Electrical conductivity of H₂O,mS/cm,,,
CTD_Fluorescence,Raw (volts) OR converted (mg Chla/m˄3) fluorescence of the H₂O,volt,,,
CTD_Depth,Vertical depth as measured by a CTD,metre,, ,
Seawater Nutrients Concentration_Nitrate,Nitrate concentration parameters in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Nutrients Concentration_Nitrite,Nitrite concentration parameters in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Nutrients Concentration_Ammonium,Ammonium concentration parameters in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Nutrients Concentration_Phosphate,Phosphate concentration parameters in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Nutrients Concentration_Silicate,Silicate concentration parameters in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Chemical Properties_pH,"Alkalinity, acidity and pH of the H₂O column",none,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Chemical Properties_Dissolved Oxygen concentration,Dissolved oxygen concentration in the H₂O column,micromol/kg,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Optical Properties_Downward PAR,Visible waveband radiance and irradiance measurements in the H₂O column,mE/m˄2/s,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Seawater Optical Properties_Turbidity,Transmittance and attenuance of the H₂O column,NTU,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Organic Matter Concentration (Amount or Mass)_POC,Particulate organic carbon concentration in the H₂O column,μg/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Organic Matter Concentration (Amount or Mass)_PON,Particulate organic nitrogen concentration in the H₂O column,μg/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Organic Matter Concentration (Amount or Mass)_DON,Dissolved organic nitrogen concentration in the H₂O column,mg/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Organic Matter Concentration (Amount or Mass)_DOC,Dissolved organic carbon concentration in the H₂O column,micromol/L,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",Concentration of pigments (e.g. chlorophyll a) extracted and analysed by fluorometry or HPLC,mg/m˄3,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
"Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton",Abundance of cells in the H₂O column (+other avail. cell properties),per m^3,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
"Organism Concentration (Amount, Volume or Mass)_Picoplankton",Abundance of cells in the H₂O column (+other avail. cell properties),per m^3,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
"Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Abundance of individuals in the H₂O column (+other avail. properties),per m^3,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Community Production Rate_Primary Production (isotope uptake),Primary Production in the H₂O column,mg/m˄3/d,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Community Production Rate_Primary Production (Oxygen),Primary Production in the H₂O column,mg/m˄3/d,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Community Production Rate_Bacterial Production (isotope uptake),Bacterial production in the H₂O column,mg/m˄3/d,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
Community Production Rate_Bacterial Production (respiration),Bacterial production in the H₂O column,mg/m˄3/d,"Where no units are given, it is assume that these required units were used; otherwise units are indicated together with the values", , 
ENA_BioSampleID,ENA biosample accession number,, , , 
ENA_BioProjectID_TargetGene18S,ENA bioproject accession number for the 18S target gene,, ,, 
ENA_BioProjectID_TargetGeneMG,ENA bioproject accession number for the metagenomics work,,,,
ENA_BioProjectID_TargetGene16S,ENA bioproject accession number for the 16S target gene,,,,