EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_ Depth,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD1_2018-06,OSD1_2018-06_NPL022_1,OSD1_2018-06_1_NPL022,OSD1,2018-06-18T09:45:00Z,50.2505,-4.2201,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,2,NPL022,OSD-Jun-2018,not provided,CTD Rosette,not provided,not provided,2,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,13.84,35.07,not provided,,0.673,2,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,discarded value,discarded value,not provided,,0.26,,not provided,not provided,not provided,not provided,not provided,SAMEA7392483,PRJEB40759,not provided,PRJEB40757
OSD100_2018-06,OSD100_2018-06_NPL022_1,OSD100_2018-06_1_NPL022,OSD100,2018-06-21T09:00:00Z,35.35,25.29,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,1,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,20,60,Corboys,seawater,not provided,0.22,no treatment,-80,24.58,39.18,40.5,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,8.2,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392454,PRJEB40759,PRJEB40760,PRJEB40757
OSD122_2018-06,OSD122_2018-06_NPL022_1,OSD122_2018-06_1_NPL022,OSD122,2018-06-21T08:01:00Z,29.4661,34.9282,marine pelagic biome [ENVO:01000023],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,Self-propelled boat. 48182,0,NPL022,OSD-Jun-2018,sampling for Prokaryotes,25L Jerrycan,three 25L Jerrycans were deployed by hand from a boat,sampling done at open sea on surface. Water depth at sampling location is 700m,6,79,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.79,40.64,62.69,,not provided,0.5,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392453,PRJEB40759,PRJEB40760,PRJEB40757
OSD13_2018-06,OSD13_2018-06_NPL022_1,OSD13_2018-06_1_NPL022,OSD13,2018-06-21T11:30:00Z,43.1838,27.9004,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25202,not provided,0,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.06,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,Liquid Nitrogen,25.7,13.8,not provided,,not provided,0,not provided,,not provided,,not provided,,not provided,,not provided,,8.37,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392479,PRJEB40759,PRJEB40760,PRJEB40757
OSD14_2018-06,OSD14_2018-06_NPL022_1,OSD14_2018-06_1_NPL022,OSD14,2018-06-19T07:30:00Z,42.484,3.135,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,2,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,3,180,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,19.11,36.73,not provided,,not provided,not provided,0.065,,0.06,,0.02,,0.05,,1.08,,8.022,5.916,unit conversion - type 3,not provided,,not provided,,not provided,176.53,29.8,0.879,not provided,SAMEA7392478,PRJEB40759,PRJEB40760,PRJEB40757
OSD141_2018-06,OSD141_2018-06_NPL022_1,OSD141_2018-06_1_NPL022,OSD141,2018-06-21T10:30:00Z,60.1612,5.115,marine pelagic biome [ENVO:01000023],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25233,boat,5,NPL022,OSD-Jun-2018,not provided,CTD / Niskin bottle,collect sample with a Niskin bottle,not provided,3,60,Sterivex,seawater,not provided,0.22,no treatment,-80,11.9,31.37,31.37,,1.55,5,not provided,,discarded value,discarded value,not provided,,discarded value,discarded value,not provided,,8.05,9.29,unit conversion - type 3,not provided,,0.46,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392452,PRJEB40759,PRJEB40760,PRJEB40757
OSD152_2018-06,OSD152_2018-06_NPL022_1,OSD152_2018-06_1_NPL022,OSD152,2018-06-20T13:00:00Z,44.6936,-63.6403,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,CGS SIGMA T,1,NPL022,OSD-Jun-2018,Compass Buoy Station has been sampled weekly since 1992 as parrt of the Bedford Basin monitoring Program,30L Niskin bottle,Niskin deployed via cable Winch,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford basin monitoring program /filtered peristaltic pump,3.1,24,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,11.3,30,7.96,,3.4,1,not provided,,0.876,,not provided,,not provided,,not provided,,8.11,7.539,unit conversion - type 3,70.351,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392451,PRJEB40759,PRJEB40760,PRJEB40757
OSD153_2018-06,OSD153_2018-06_NPL022_1,OSD153_2018-06_1_NPL022,OSD153,2018-06-21T10:28:00Z,36.9978,-7.9817,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,on shore,0,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.5,40,Sterivex,not provided,not provided,0.22,no treatment,-80,19.1,36,48,,not provided,0.2,not provided,,not provided,,not provided,,not provided,,not provided,,8.13,8.44,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392450,PRJEB40759,PRJEB40760,PRJEB40757
OSD159_2018-06,OSD159_2018-06_NPL022_1,OSD159_2018-06_1_NPL022,OSD159,not provided,48.359,-4.552,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8762,not provided,not provided,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392449,PRJEB40759,PRJEB40760,PRJEB40757
OSD17_2018-06,OSD17_2018-06_NPL022_1,OSD17_2018-06_1_NPL022,OSD17,2018-06-20T08:46:08Z,51.4335,2.8082,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 330,0.78,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,16.15,32.96,41.75,factor conversion microS to mS,6.223,not provided,0.529,,0.059,,0.029,,0.039,,0.029,,not provided,not provided,,not provided,,discarded value,discarded value,not provided,not provided,not provided,not provided,not provided,SAMEA7392477,PRJEB40759,PRJEB40760,PRJEB40757
OSD170_2018-06,OSD170_2018-06_NPL022_1,OSD170_2018-06_1_NPL022,OSD170,2018-06-20T07:05:28Z,51.2706,2.9064,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 130,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,17.08,32.16,41.69,factor conversion microS to mS,13.333,not provided,2.78,,1.44,,0.3,,0.18,,0.439,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392448,PRJEB40759,PRJEB40760,PRJEB40757
OSD171_2018-06,OSD171_2018-06_NPL022_1,OSD171_2018-06_1_NPL022,OSD171,2018-06-20T07:47:03Z,51.3085,2.8508,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 230,0.66,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,16.85,32.42,41.78,factor conversion microS to mS,10.469,not provided,1.23,,0.509,,0.15,,0.07,,0.18,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392447,PRJEB40759,PRJEB40760,PRJEB40757
OSD175_2018-06,OSD175_2018-06_NPL022_1,OSD175_2018-06_1_NPL022,OSD175,2018-06-20T10:46:48Z,51.3336,2.499,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site ZG02,1.02,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,15.59,32.42,42.58,factor conversion microS to mS,1.336,not provided,0.33,,0.059,,0.02,,0.02,,0.15,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392446,PRJEB40759,PRJEB40760,PRJEB40757
OSD176_2018-06,OSD176_2018-06_NPL022_1,OSD176_2018-06_1_NPL022,OSD176,2018-06-20T11:36:53Z,51.277,2.612,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 215,0.9,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,16.24,33.78,42.76,factor conversion microS to mS,1.8,not provided,0.449,,0.1,,0.02,,0.029,,0.109,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392445,PRJEB40759,PRJEB40760,PRJEB40757
OSD177_2018-06,OSD177_2018-06_NPL022_1,OSD177_2018-06_1_NPL022,OSD177,2018-06-20T12:59:23Z,51.1832,2.7011,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 120,0.6,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,17.04,33.31,43,factor conversion microS to mS,4.323,not provided,0.409,,0.27,,0.029,,0.029,,0.219,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392444,PRJEB40759,PRJEB40760,PRJEB40757
OSD178_2018-06,OSD178_2018-06_NPL022_1,OSD178_2018-06_1_NPL022,OSD178,2018-06-25T10:42:51Z,51.583,2.7942,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 435,0.6,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,16.11,33.56,42.39,factor conversion microS to mS,1.004,not provided,0.889,,0.469,,0.18,,0.05,,0.31,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392443,PRJEB40759,PRJEB40760,PRJEB40757
OSD179_2018-06,OSD179_2018-06_NPL022_1,OSD179_2018-06_1_NPL022,OSD179,2018-06-26T00:31:19Z,51.5697,2.2573,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW01,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,14.88,34.73,42.51,factor conversion microS to mS,1.222,not provided,0.4,,0.389,,0.039,,0.039,,1.149,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392442,PRJEB40759,PRJEB40760,PRJEB40757
OSD180_2018-06,OSD180_2018-06_NPL022_1,OSD180_2018-06_1_NPL022,OSD180,2018-06-25T21:59:09Z,51.7999,2.5569,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW02,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,14.67,34.7,42.27,factor conversion microS to mS,1.176,not provided,0.439,,0.17,,0.02,,0.05,,0.56,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392441,PRJEB40759,not provided,PRJEB40757
OSD182_2018-06,OSD182_2018-06_NPL022_1,OSD182_2018-06_1_NPL022,OSD182,2018-06-26T01:27:04Z,51.4601,2.3519,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W08,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,15.42,34.53,42.81,factor conversion microS to mS,2.077,not provided,0.49,,0.27,,0.029,,0.02,,0.379,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392440,PRJEB40759,PRJEB40760,PRJEB40757
OSD183_2018-06,OSD183_2018-06_NPL022_1,OSD183_2018-06_1_NPL022,OSD183,2018-06-25T21:10:44Z,51.7482,2.7011,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W09,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,15.09,34.57,42.54,factor conversion microS to mS,0.717,not provided,0.61,,0.219,,0.039,,0.029,,0.839,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392439,PRJEB40759,PRJEB40760,PRJEB40757
OSD184_2018-06,OSD184_2018-06_NPL022_1,OSD184_2018-06_1_NPL022,OSD184,2018-06-25T23:12:24Z,51.6847,2.4193,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W10,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,14.71,34.66,42.26,factor conversion microS to mS,0.973,not provided,0.709,,0.33,,0.05,,0.07,,0.759,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392438,PRJEB40759,not provided,PRJEB40757
OSD185_2018-06,OSD185_2018-06_NPL022_1,OSD185_2018-06_1_NPL022,OSD185,2018-06-26T02:04:34Z,51.4819,2.4512,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 421,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,15.76,34.22,42.8,factor conversion microS to mS,3.887,not provided,0.46,,0.569,,0.029,,0.02,,0.059,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392437,PRJEB40759,PRJEB40760,PRJEB40757
OSD2_2018-06,OSD2_2018-06_NPL022_1,OSD2_2018-06_1_NPL022,OSD2,2018-06-22T12:45:00Z,48.7778,-3.9375,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,NPL022,OSD-Jun-2018,not provided,Hand pump,not provided,A few wind and sunny,5.25,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,13.52,34.94,4.14,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,7.9404,not provided,,1.68,unit conversion type1,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392482,PRJEB40759,PRJEB40760,PRJEB40757
OSD210_2018-06,OSD210_2018-06_NPL022_1,OSD210_2018-06_1_NPL022,OSD210,2018-06-21T07:30:00Z,43.108,3.081,coastal wetland ecosystem [ENVO:00000230],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,0,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,acid washed carboy,sampling and sterivex filtration,not provided,2.8,60,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,25.4,28.5,not provided,,not provided,not provided,not provided,,0.06,,0.07,,0.07,,4.96,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392436,PRJEB40759,PRJEB40760,PRJEB40757
OSD211_2018-06,OSD211_2018-06_NPL022_1,OSD211_2018-06_1_NPL022,OSD211,2018-06-21T08:30:00Z,42.967,3.003,coastal wetland ecosystem [ENVO:00000230],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,0,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,not provided,not provided,not provided,1.1,60,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,26.2,14.8,not provided,,not provided,not provided,not provided,,0.06,,0.18,,0.15,,44.49,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392435,PRJEB40759,PRJEB40760,PRJEB40757
OSD212_2018-06,OSD212_2018-06_NPL022_1,OSD212_2018-06_1_NPL022,OSD212,2018-06-21T10:44:00Z,55.7321,12.5807,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5674,Harbour pier,0,NPL022,OSD-Jun-2018,monitoring of often sampled site for isolation of bioactive marine bacteria,Sterile 10L Nalgene carboy,Nalgene carboy was submerged into surface water,windy and water rather clear,0.5,440,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.9,21,not provided,,not provided,0,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,1.75,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392434,PRJEB40759,PRJEB40760,PRJEB40757
OSD214_2018-06,OSD214_2018-06_NPL022_1,OSD214_2018-06_1_NPL022,OSD214,not provided,35.2135,-2.8461,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,not provided,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat,not provided,not provided,not provided,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392433,PRJEB40759,PRJEB40760,PRJEB40757
OSD216_2018-06,OSD216_2018-06_NPL022_1,OSD216_2018-06_1_NPL022,OSD216,2018-06-21T11:00:00Z,43.7558,13.209,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Tecnopesca boat,0,NPL022,OSD-Jun-2018,not provided,5L Single bottle,Pump,not provided,0.7,20,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392432,PRJEB40759,PRJEB40760,PRJEB40757
OSD217_2018-06,OSD217_2018-06_NPL022_1,OSD217_2018-06_1_NPL022,OSD217,2018-06-21T13:45:00Z,44.4973,-63.5245,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25356,Dock,0,NPL022,OSD-Jun-2018,not provided,OSD 5 galon bucket,collect at surface,filter with syringe,0.85,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,10,22,not provided,,not provided,0,0,,0,,0,,not provided,,not provided,,8,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392431,PRJEB40759,PRJEB40760,PRJEB40757
OSD218_2018-06,OSD218_2018-06_NPL022_1,OSD218_2018-06_1_NPL022,OSD218,2018-06-21T13:15:00Z,43.9351,-60.0044,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18834,Shore,1,NPL022,OSD-Jun-2018,not provided,Bucket,Collect at surface (~60 cm depth),filter with syringe,2,106,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80 and held for 3 days at -20,14,33,not provided,,not provided,0,0,,0,,0,,not provided,,not provided,,8,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392430,PRJEB40759,not provided,PRJEB40757
