EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_ Depth,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD219_2018-06,OSD219_2018-06_NPL022_1,OSD219_2018-06_1_NPL022,OSD219,2018-06-21T12:12:00Z,53.2403,-9.3123,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,not provided,0,NPL022,OSD-Jun-2018,not provided,Bucket,Suface sample,overcast and northerly breeze,2.5,23,not provided,not provided,not provided,0.22,no treatment,not provided,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392429,PRJEB40759,PRJEB40760,PRJEB40757
OSD22_2018-06,OSD22_2018-06_NPL022_1,OSD22_2018-06_1_NPL022,OSD22,2018-06-20T11:30:00Z,43.239,5.2888,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,Reasearch boat Antedon II,2,NPL022,OSD-Jun-2018,collecting Prokaryotes on 0.22μm pore size filters using Sterivex carbidges,Niskin bottle,not provided,not provided,6,60,Sterivex,particulate matter on the filter,not provided,0.22,no treatment,-80,18.87,38.06,5.09,,0.393,2,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,10,Given unit does not match required unit.,not provided,,0.19,,not provided,not provided,not provided,not provided,not provided,SAMEA7392475,PRJEB40759,PRJEB40760,PRJEB40757
OSD220_2018-06,OSD220_2018-06_NPL022_1,OSD220_2018-06_1_NPL022,OSD220,2018-06-21T09:40:00Z,42.2285,-8.7788,temperate marine upwelling biome [ENVO:01000860],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25366,not provided,1,NPL022,OSD-Jun-2018,not provided,not provided,Niskin bottle,not provided,1.4,18,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,18.4,35.22,51.37,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392428,PRJEB40759,PRJEB40760,PRJEB40757
OSD223_2018-06,OSD223_2018-06_NPL022_1,OSD223_2018-06_1_NPL022,OSD223,2018-06-21T13:20:00Z,54.4853,18.5711,marginal sea biome [ENVO:01000046],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,not provided,0,NPL022,OSD-Jun-2018,Prokaryotes,10% acid washed buckets,Filters 1 and 2 with water vacuum pump. Filters 3 and 4 with mechanical vacuum pump,not provided,1.3,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,18.9,6.6,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392427,not provided,PRJEB40760,PRJEB40757
OSD227_2018-06,OSD227_2018-06_NPL022_1,OSD227_2018-06_1_NPL022,OSD227,2018-06-21T11:40:00Z,48.6698,-3.886,estuarine biome [ENVO:01000020],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,NPL022,OSD-Jun-2018,not provided,Hand pump,not provided,NE wind 25-30km/h sunny all filters are coloured light brown time of filtration (UTC) 13:10,2.76,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,14.74,34.7,not provided,,2.16,1.25,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,discarded value,discarded value,1.31,unit conversion type1,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392426,PRJEB40759,PRJEB40760,PRJEB40757
OSD228_2018-06,OSD228_2018-06_NPL022_1,OSD228_2018-06_1_NPL022,OSD228,2018-06-21T09:00:00Z,35.464,24.1996,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,not provided,particulate matter,no prefiltration,0.22,no treatment,-80,25.35,38.84,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392425,PRJEB40759,not provided,PRJEB40757
OSD229_2018-06,OSD229_2018-06_NPL022_1,OSD229_2018-06_1_NPL022,OSD229,2018-06-21T09:00:00Z,35.5455,24.3088,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,not provided,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392424,PRJEB40759,PRJEB40760,PRJEB40757
OSD231_2018-06,OSD231_2018-06_NPL022_1,OSD231_2018-06_1_NPL022,OSD231,2018-06-21T10:00:00Z,37.8652,12.481,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3568,not provided,1,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,not provided,40,tube,DNA,no prefiltration,0.22,no treatment,4,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392423,not provided,PRJEB40760,PRJEB40757
OSD232_2018-06,OSD232_2018-06_NPL022_1,OSD232_2018-06_1_NPL022,OSD232,2018-06-21T10:40:00Z,40.8031,14.34,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD-Jun-2018,OSD-232-PROK,Boat,sampling water from a boat,water mass very clear. Low content from NW,4,110,Tank,seawater,not provided,0.22,no treatment,-80,25,36.8,55.4,,not provided,0.3,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392422,PRJEB40759,PRJEB40760,PRJEB40757
OSD233_2018-06,OSD233_2018-06_NPL022_1,OSD233_2018-06_1_NPL022,OSD233,2018-06-21T11:00:00Z,38.1953,15.5736,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3568,not provided,0,NPL022,OSD-Jun-2018,not provided,GO-FLO Sampling bottle,not provided,not provided,7.1,55,50ml vials,sterivex,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392421,PRJEB40759,PRJEB40760,PRJEB40757
OSD24_2018-06,OSD24_2018-06_NPL022_1,OSD24_2018-06_1_NPL022,OSD24,2018-06-21T10:37:00Z,35.1927,-2.88,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,1,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat,not provided,1.04,40,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,24,38.2,54,,not provided,not provided,not provided,,not provided,,not provided,,discarded value,discarded value,not provided,,8,not provided,,not provided,,3.2,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392474,not provided,not provided,PRJEB40757
OSD26_2018-06,OSD26_2018-06_NPL022_1,OSD26_2018-06_1_NPL022,OSD26,2018-06-21T10:45:00Z,35.82,-5.75,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,not provided,1,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected from the coastline in a 5L buckets,not provided,1.5,50,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,24,not provided,11.5,,not provided,1,not provided,,not provided,,not provided,,discarded value,discarded value,not provided,,8.2,not provided,,not provided,,6.92,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392473,PRJEB40759,PRJEB40760,PRJEB40757
OSD30_2018-06,OSD30_2018-06_NPL022_1,OSD30_2018-06_1_NPL022,OSD30,2018-06-19T09:00:00Z,59.8553,23.2633,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25672,R/V J.A. Palmen,1,NPL022,OSD-Jun-2018,not provided,2 x 2L Limnos,Limnoses were deployed just below surface with a rope,not provided,0.7,27,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,13.8,5.74,7.96,,2.895,1,discarded value,discarded value,discarded value,discarded value,discarded value,discarded value,discarded value,discarded value,discarded value,discarded value,8.31,7.3,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392472,not provided,not provided,PRJEB40757
OSD39_2018-06,OSD39_2018-06_NPL022_1,OSD39_2018-06_1_NPL022,OSD39,2018-06-21T10:57:00Z,32.7529,-79.8998,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,off cove by S.C. Dept. of Nature Resources,1,NPL022,OSD-Jun-2018,not provided,2L Nalgene bottles,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1.1,140,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,30.4,22.19,35.43,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,7.65,6.05,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392471,PRJEB40759,PRJEB40760,PRJEB40757
OSD4_2018-06,OSD4_2018-06_NPL022_1,OSD4_2018-06_1_NPL022,OSD4,2018-06-21T13:00:00Z,40.808,14.25,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,Hippocampo,0,NPL022,OSD-Jun-2018,not provided,Niskin bottle,not provided,not provided,0.67,35,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,24.8,36.93,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392481,PRJEB40759,PRJEB40760,PRJEB40757
OSD43_2018-06,OSD43_2018-06_NPL022_1,OSD43_2018-06_1_NPL022,OSD43,2018-06-21T11:42:00Z,32.867,-117.2573,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Pier with bucket,0,NPL022,OSD-Jun-2018,OSD2018 samples,acid washed bucket,pile wench,There were divers in the vicinity which is unusual. They could have stirred sediment but not known if they did or not.,2,30,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,19.85,34,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,2.47,not provided,SAMEA7392470,PRJEB40759,PRJEB40760,PRJEB40757
OSD47_2018-06,OSD47_2018-06_NPL022_1,OSD47_2018-06_1_NPL022,OSD47,2018-06-21T10:47:00Z,45.502,12.4176,lagoon [ENVO:00000038],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,Unipd Boat,0,NPL022,OSD-Jun-2018,not provided,10L bottle,Bottle immersion on sea surface by hand,not provided,0.48,10,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392469,PRJEB40759,PRJEB40760,PRJEB40757
OSD48_2018-06,OSD48_2018-06_NPL022_1,OSD48_2018-06_1_NPL022,OSD48,2018-06-21T07:25:00Z,45.4125,12.5265,mediterranean sea biome [ENVO:01000047],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,Unipd Boat,0,NPL022,OSD-Jun-2018,not provided,10L bottle,Bottle immersion on sea surface by hand,not provided,0.96,18,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392468,PRJEB40759,PRJEB40760,PRJEB40757
OSD5_2018-06,OSD5_2018-06_NPL022_1,OSD5_2018-06_1_NPL022,OSD5,2018-06-21T09:00:00Z,35.66,24.99,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,1,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,Sterivex,particulate matter on 47mm 1.2 microm pore size polycarbonate filter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392480,PRJEB40759,PRJEB40760,PRJEB40757
OSD54_2018-06,OSD54_2018-06_NPL022_1,OSD54_2018-06_1_NPL022,OSD54,2018-06-21T06:25:00Z,43.844,-69.6409,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD-Jun-2018,sampling at 1m from floating dock at Deaprtment of Marine Resources Maine USA,5L Niskin bottle,4 X 5L Niskin to fill 20L carboy,Prokaryotic samples (not prefiltered),3.56,50,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,12.2,32,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392467,PRJEB40759,not provided,PRJEB40757
OSD55_2018-06,OSD55_2018-06_NPL022_1,OSD55_2018-06_1_NPL022,OSD55,2018-06-21T06:04:00Z,43.8604,-69.5781,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD-Jun-2018,sampling at 1m from floating dock at Bigelow Laboratory for Ocean Sciences,2L Niskin bottle,10 X 2L Niskin deployed to fill 20L carboy,Prokaryotic samples (not prefiltered),4,45,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,12.2,32,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392466,PRJEB40759,not provided,PRJEB40757
OSD60_2018-06,OSD60_2018-06_NPL022_1,OSD60_2018-06_1_NPL022,OSD60,2018-06-21T14:20:00Z,32.334,-79.1929,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD-Jun-2018,not provided,2L Nalgene bottles,Hand dipped / sumberged under water to fill bottle,Prokaryotic samples,1,37,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,no treatment,-80,28.5,32.56,50.3,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,8.04,6.24,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392465,PRJEB40759,PRJEB40760,PRJEB40757
OSD63_2018-06,OSD63_2018-06_NPL022_1,OSD63_2018-06_1_NPL022,OSD63,2018-06-21T09:00:00Z,45.3144,12.5083,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,CNR LITUS� Boat,0,NPL022,OSD-Jun-2018,not provided,5L Single bottle,not provided,not provided,3.7,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,25.88,34.86,53.8,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,5.34575,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392464,not provided,PRJEB40759,PRJEB40757
OSD69_2018-06,OSD69_2018-06_NPL022_1,OSD69_2018-06_1_NPL022,OSD69,2018-06-21T13:35:00Z,45.4568,12.2605,lagoon [ENVO:00000038],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,Unipd Boat,0,NPL022,OSD-Jun-2018,not provided,10L bottle,Bottle immersion on sea surface by hand,not provided,0.42,8,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392463,PRJEB40759,PRJEB40760,PRJEB40757
OSD70_2018-06,OSD70_2018-06_NPL022_1,OSD70_2018-06_1_NPL022,OSD70,2018-06-21T07:01:00Z,45.4142,12.4378,mediterranean sea biome [ENVO:01000047],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,Unipd Boat,0,NPL022,OSD-Jun-2018,not provided,10L bottle,Bottle immersion on sea surface by hand,not provided,1.02,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392462,PRJEB40759,PRJEB40760,PRJEB40757
OSD74_2018-06,OSD74_2018-06_NPL022_1,OSD74_2018-06_1_NPL022,OSD74,2018-06-22T11:15:00Z,41.1416,-8.6668,estuarine biome [ENVO:01000020],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25368,not provided,1,NPL022,OSD-Jun-2018,OSD investigate ocean microbial diversity,acid washed bucket,Bucket tied with rope,not provided,0.9,94,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,20.3,4,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392461,PRJEB40759,PRJEB40760,PRJEB40757
OSD78_2018-06,OSD78_2018-06_NPL022_1,OSD78_2018-06_1_NPL022,OSD78,2018-06-21T12:00:00Z,43.57,13.595,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,not provided,1,NPL022,OSD-Jun-2018,OSD-78-PROK,Boat,sampling water from a boat,not provided,1.3,60,Tank,seawater,not provided,0.22,no treatment,not provided,26,31.7,49.5,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392460,PRJEB40759,PRJEB40760,PRJEB40757
OSD81_2018-06,OSD81_2018-06_NPL022_1,OSD81_2018-06_1_NPL022,OSD81,2018-06-21T10:58:00Z,37.0051,-7.9731,lagoon [ENVO:00000038],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5349,Boat (Hossegor),0,NPL022,OSD-Jun-2018,not provided,not provided,Protocol NPL022 is followed,not provided,1.6,50,Sterivex,not provided,not provided,0.22,no treatment,-80,20.9,36.18,50.27,,not provided,0.2,not provided,,not provided,,not provided,,not provided,,not provided,,8.19,5.84,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392459,not provided,PRJEB40760,PRJEB40757
OSD88_2018-06,OSD88_2018-06_NPL022_1,OSD88_2018-06_1_NPL022,OSD88,2018-06-20T08:30:00Z,46.0842,-1.3083,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25218,research vessel ESTRAN,0,NPL022,OSD-Jun-2018,SOMLIT network is a long term monitoring of the physicochemical parameters of the french coastal environment,12L Niskin bottle,two times 12L-Niskin were deployed and poured in 1 bottle 15L nalgene acid washed bottle,tidal range is 5.19m sunny day wind is 2knots direction is NE swell is zero air temperature is 28.9 celcius degree,1.34,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392458,PRJEB40759,PRJEB40760,PRJEB40757
OSD91_2018-06,OSD91_2018-06_NPL022_1,OSD91_2018-06_1_NPL022,OSD91,2018-06-21T10:15:00Z,32.7385,-9.039,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected from an exact geolocation in a 5L buckets,not provided,1.5,40,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,19,not provided,53.2,,not provided,1,not provided,,not provided,,not provided,,discarded value,discarded value,not provided,,8,not provided,,not provided,,5.32,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392457,PRJEB40759,PRJEB40760,PRJEB40757
OSD93_2018-06,OSD93_2018-06_NPL022_1,OSD93_2018-06_1_NPL022,OSD93,2018-06-21T12:00:00Z,33.2464,-8.4761,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected from a specific geolocation in a 5L buckets,not provided,1.4,40,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,24,not provided,48,,not provided,1,not provided,,not provided,,not provided,,discarded value,discarded value,not provided,,8,not provided,,not provided,,6.32,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392456,PRJEB40759,PRJEB40760,PRJEB40757
OSD99_2018-06,OSD99_2018-06_NPL022_1,OSD99_2018-06_1_NPL022,OSD99,2018-06-21T10:46:00Z,45.7009,13.71,marine biome [ENVO:00000447],marine biome [ENVO:00000447],not provided,Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3314,research vessel - Niskin,1,NPL022,OSD-Jun-2018,OSD,Niskin,Niskin and acid washed funnel,not provided,2.4,51,Sterivex,particulate matter-seawater,no prefiltration,0.22,no treatment,-80,24.1,37.07,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,8.3,discarded value,discarded value,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392455,PRJEB40759,not provided,not provided
