title,CTD_Conductivity,Density,CTD_Fluorescence,OBS,Pressure,Sound Velocity,CTD_ Depth (m),Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Nitrate_Nitrite,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,Pigments_19Hex_Fucoxanthin,Pigments_Alloxanthin,Pigments _Antheraxanthin,Pigments _Anthoxanthin,Pigments_ Beta_Carotene,Pigments_Chlorophyll_a,Pigments_Chlorophyll_b,Pigments _Chlorophyll_c1,Pigments_Chlorophyll_c2,Pigments_ Chlorophyllide_a,Pigments_ Diadinoxanthin,Pigments_Diatoxanthin,Pigments_Fucoxanthin,Pigments _Neoxanthin,Pigments_Peridinin,Pigments _Pheophorbide_a,Pigments_ Prasinoxanthin,Pigments _ Zeaxanthin,Secchi > Secchi_Depth,SPM > SPM,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),Community Production Rate_DN15‰,Community Production Rate_DC13‰,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Total alkalinity,Community Production Rate_suspended material,Community Production Rate_bacteria abundance
OSD1_2018-06_1_NPL022,,,0.6731,,,,2,,,,,,,,-999.999,,0.2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD2_2018-06_1_NPL022,4.140853,,,,,,1,,,,,,,7.9404,,1680 photons/m2/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD4_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD5_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD13_2018-06_1_NPL022,,,,,,,0,,,,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD14_2018-06_1_NPL022,,,,,,,,0.065 μmol/l,,0.06 μmol/l,0.02 μmol/l,0.05 μmol/l,1.08 μmol/l,8.022,5.916 mg/l,,,,176.53 μmol/l,29.801 μmol/l,,,,,,,,,,,,,,,,,0.2 μg/l,,,,,0.879 μg/l,,,,,,,,,,,,1.684 mg/l,
OSD17_2018-06_1_NPL022,41748.41176,1024.160059,6.223029412,1.354747059,3.489352941,1507.952353,,0.529999971,0.090000004,0.059999999,0.029999999,0.039999999,0.029999999,,,,,,,,,0,0.027328696,0,0,0.080033153,5.783505917,0,0.635427296,0.32253468,0.736180484,0.343084037,0.04327222,3.382913351,0.055851597,0,0.036840737,0,0,420,7.300000191,,,,,,,,,,,,,,
OSD18_2018-06_1_NPL022,5.1444,,0.258,,,,65,,,,,,,8.069,6.9866,2.04,0.9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD22_2018-06_1_NPL022,5.098,,0.393,,,,2,,,,,,,,100.96%,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD24_2018-06_1_NPL022,54 mS/cm,,,,,,,,,,,30-50,,8,,,3.20 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD26_2018-06_1_NPL022,11.5 mS/cm,,,,,,1,,,,,30-50,,8.2,,,6.92 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD30_2018-06_1_NPL022,7.96,,2.895 mg/m3,,,,1,<2 μg/l,,< 3μg/l,<1μg/l,5.4μg/l,185.8 μg/l,8.31,7.3 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD39_2018-06_1_NPL022,35.431 mS/cm,,,,,,1,,,,,,,7.65,6.05 mg/l ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD43_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47 mg/m3,,,,,,,,,,,,,
OSD47_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD48_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD49_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD54_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD55_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD60_2018-06_1_NPL022,50.3 mS/cm,,,,,,1,,,,,,,8.04,6.24mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD63_2018-06_1_NPL022,53.802155 mS/cm,,,,,,,,,,,,,,5.34575 ml/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD69_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD70_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD74_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD76_2018-06_1_NE08,48.03,,,,,,11.5,0.127 μM,,1.721 μM,0.033 μΜ,0.019 μM,3.901 μM,8.5,5.75 mg/l,,,11.391 μM,,,,,,,,,,,,,,,,,,,,,,,,1.28 μg/l,,1552771.6 cells/l,,,,,,,,,,,
OSD77_2018-06_1_NE08,48.42,,,,,,12.4,0.153 μM,,1.323 μM,0.008 μM,0.010 μM,3.109 μM,8.45,6.12 mg/l,,,9.876 μM,,,,,,,,,,,,,,,,,,,,,,,,0.49 μg/l,,406588.23 cells/l,,,,,,,,,,,
OSD78_2018-06_1_NPL022,49.5 mS/cm,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD81_2018-06_1_NPL022,50.270 mS/cm,,,,,,0.2,,,,,,,8.19,58.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD88_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD91_2018-06_1_NPL022,53.2 mS/cm,,,,,,1,,,,,30-50,,8,,,5.32 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD92_2018-06_1_NPL022,52.3 mS/cm,,,,,,1,,,,,30-50,,8,,,4.51 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD93_2018-06_1_NPL022,48 mS/cm,,,,,,1,,,,,30-50,,8,,,6.32 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD99_2018-06_1_NPL022,,,,,,,,,,,,,,8.3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD100_2018-06_1_NPL022,5.817,,,,,,1,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD122_2018-06_1_NPL022,62.694 mS/cm,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD141_2018-06_1_NPL022,31.37,,1.55 μg/l,,,,5,,,12.5 mg/l,,0.25 mg/l,,8.05,9.29 mg/l,,0.46 FTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD152_2018-06_1_NPL022,7.968 mS/cm,,3.4 mg/m3,,,,1,,,0.876 μM,,,,8.11,7.539 ml/l,70.351 μE/m2/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD153_2018-06_1_NPL022,"48,207 mS/cm",,,,,,0.2,,,,,,,8.13,84.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD159_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD170_2018-06_1_NPL022,41693.5,1023.329271,13.33381429,5.702364286,3.444428571,1509.866429,,2.789999962,1.74000001,1.440000057,0.300000012,0.180000007,0.439999998,,,,,,,,,0,0.074900873,0,0,0.180697083,15.31385326,0,1.781944275,0.949148357,0.615621328,0.54893446,0.027620565,6.483777046,0,0,0.066983156,0,0,120,12,,,,,,,,,,,,,,
OSD171_2018-06_1_NPL022,41783.91667,1023.583683,10.46924167,4.566308333,3.543833333,1509.473333,,1.230000019,0.660000026,0.50999999,0.150000006,0.07,0.180000007,,,,,,,,,0,0.057491478,0,0,0.175290391,13.58812904,0,1.601963758,0.717134356,0,0.551984131,0.042719807,6.282984734,0.106770843,0,0.174156204,0,0,NA,NA,,,,,,,,,,,,,,
OSD175_2018-06_1_NPL022,42580.16667,1025.218683,1.33605,1.335183333,3.236833333,1507.618333,,0.330000013,0.079999998,0.059999999,0.02,0.02,0.150000006,,,,,,,,,0,0.096156523,0.006372738,0,0.045174271,2.316511869,0.213882849,0.228753835,0.116007023,0.135949701,0.122938454,0.027160224,0.96954459,0.024661744,0.022633085,0.016745789,0.062196456,0.040680703,NA,5.5,,,,,,,,,,,,,,
OSD176_2018-06_1_NPL022,42765.4375,1024.7673,1.800025,1.403925,3.4968125,1509.18375,,0.449999988,0.119999997,0.100000001,0.02,0.029999999,0.109999999,,,,,,,,,0.012989565,0.026316522,0.00708082,0,0.036044564,2.819200039,0.046750348,0.426823974,0.166393906,0,0.145493045,0.020255081,1.335257411,0,0,0.160759568,0,0.015953217,500,5.5,,,,,,,,,,,,,,
OSD177_2018-06_1_NPL022,43000.93333,1024.225593,4.323266667,3.63658,3.496933333,1511.082667,,0.409999996,0.300000012,0.270000011,0.029999999,0.029999999,0.219999999,,,,,,,,,0,0.042511303,0,0,0.053355437,4.920644283,0,0.582532287,0.240802452,0,0.180119127,0.022096453,2.04485774,0,0,0,0,0.008375439,240,8.100000381,,,,,,,,,,,,,,
OSD178_2018-06_1_NPL022,42389.9375,1024.627081,1.00426875,0.91676875,3.4844375,1508.52875,,0.889999986,0.649999976,0.469999999,0.180000007,0.050000001,0.310000002,,,,,,,,,0.043143913,0.026316522,0.01062123,0,0.063315116,4.205479622,0.03506276,0.433464468,0.221467957,0,0.243970886,0.116006374,2.657643557,0,0.022633085,0.053586524,0,0.057431579,NA,NA,,,,,,,,,,,,,,
OSD179_2018-06_1_NPL022,42513,1025.807824,1.222205882,1.084358824,3.570823529,1506.053529,,0.400000006,0.430000007,0.389999986,0.039999999,0.039999999,1.149999976,,,,,,,,,0.033401739,0.016194783,0,0,0.027981963,0.741076469,0.20570153,0.043964699,0.023435762,0,0.01588352,0,0.125355259,0.017408289,0.022633085,0,0.065083213,0.082159065,NA,NA,,,,,,,,,,,,,,
OSD180_2018-06_1_NPL022,42266.55556,1025.828711,1.1766,0.927016667,3.512111111,1505.329444,,0.439999998,0.189999998,0.170000002,0.02,0.050000001,0.560000002,,,,,,,,,0.062164348,0.004723478,0,0,0.015176658,0.777352929,0.025712691,0.062741295,0.059761193,0.061562128,0.03176704,0.004296532,0.242875829,0,0,0,0.015745938,0.03988304,NA,NA,,,,,,,,,,,,,,
OSD182_2018-06_1_NPL022,42806.83333,1025.531389,2.077466667,0.996555556,3.512555556,1507.493333,,0.49000001,0.300000012,0.270000011,0.029999999,0.02,0.379999995,,,,,,,,,0.035257392,0.013495652,0,0,0.024187798,1.461423516,0.088825665,0.136931717,0.100773782,0.078662723,0.066075444,0.008593065,0.656995893,0.012572654,0.012070979,0,0.031491876,0.042276025,NA,NA,,,,,,,,,,,,,,
OSD183_2018-06_1_NPL022,42540.5,1025.636031,0.71753125,0.98024375,3.50575,1506.53125,,0.610000014,0.25999999,0.219999999,0.039999999,0.029999999,0.839999974,,,,,,,,,0.033401739,0,0.004956574,0,0.051695492,0.5493294,0.133238494,0.01786066,0.011131987,0,0.00762409,,0.041412007,0.011605526,0.018106468,0,0.043038897,0.405211687,NA,NA,,,,,,,,,,,,,,
OSD184_2018-06_1_NPL022,42263.11111,1025.791839,0.973994444,0.899444444,3.566222222,1505.407778,,0.709999979,0.379999995,0.330000013,0.050000001,0.07,0.75999999,,,,,,,,,0.027834782,0.004048696,0,0,0.017073739,0.715164721,0.081813112,0.060451463,0.013475563,0,0.022236928,0,0.17236349,0.008704145,0.010562106,0,0.024143772,0.01994152,NA,NA,,,,,,,,,,,,,,
OSD185_2018-06_1_NPL022,42802.91667,1025.2209,3.8874,1.0499,3.473583333,1508.210833,,0.460000008,0.600000024,0.569999993,0.029999999,0.02,0.059999999,,,,,,,,,0.012525653,0.010121739,0,0,0.023476392,1.496404409,0.033309624,0.172767535,0.108536877,0.066692308,0.06003971,0.007825827,0.747094989,0.006528109,0.014711506,0,0,0.011964913,NA,NA,,,,,,,,,,,,,,
OSD205_2018-06_1_NPL022,,,,,,,,,,0.818 mg/L,0.294 mg/l,0.334 mg/l,,8.32,5.64 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD210_2018-06_1_NPL022,,,,,,,,,,0.06 μmol/l,0.07 μmol/l,0.07 μmol/l,4.96 μmol/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD211_2018-06_1_NPL022,,,,,,,,,,0.06 μmol/l,0.18 μmol/l,0.15 μmol/l,44.49 μmol/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD212_2018-06_1_NPL022,,,,,,,0,,,,,,,,1.75 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD213_2018-06_1_NE08,,,,,,,2,,,,,,,,4.4 ml/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD214_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD216_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD217_2018-06_1_NPL022,,,,,,,0,0 ppm,,0 ppm,0 ppm,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD218_2018-06_1_NPL022,,,,,,,0,0 ppm,,0 ppm,0 ppm,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD219_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD220_2018-06_1_NPL022,51.37,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD223_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD224_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD225_2018-06_1_,43.48,,,,,,0-1,3.52 mg/l,,4.39 mg/l,0.05 mg/l,0.011 mg/l,0.453 mg/l,7.27,3.20mg/l,,252.6 FTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD225_2018-06_1_,40.67,,,,,,0-1,4.15 mg/l,,4.30 mg/l,0.02 mg/l,0.01 mg/l,0.42 mg/l,6.79,3.1mg/l,,248.2 FTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD227_2018-06_1_NPL022,,,2.16 μg/l,,,,1.25,,,,,,,,,1313 photons/m2/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD228_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD229_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD231_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD232_2018-06_1_NPL022,55.4 mS/cm,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD233_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD234_2018-06_1_NPL022,,,,,,,,,,0.818 mg/l,0.294 mg/l,0.334 mg/l,,8.316,5.76 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,