title,CTD_Conductivity,CTD_Fluorescence,CTD_ Depth (m),Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration)
OSD1_2018-06_1_NPL022,not provided,0.673,2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.26,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD2_2018-06_1_NPL022,4.14,not provided,1,not provided,not provided,not provided,not provided,not provided,7.9404,not provided,1.68,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD4_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD5_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD13_2018-06_1_NPL022,not provided,not provided,0,not provided,not provided,not provided,not provided,not provided,8.37,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD14_2018-06_1_NPL022,not provided,not provided,not provided,0.065,0.06,0.02,0.05,1.08,8.022,5.916,not provided,not provided,not provided,176.53,29.8,not provided,0.879,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD17_2018-06_1_NPL022,41.75,6.223,not provided,0.529,0.059,0.029,0.039,0.029,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD22_2018-06_1_NPL022,5.09,0.393,2,not provided,not provided,not provided,not provided,not provided,not provided,10,not provided,0.19,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD24_2018-06_1_NPL022,54,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8,not provided,not provided,3.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD26_2018-06_1_NPL022,11.5,not provided,1,not provided,not provided,not provided,not provided,not provided,8.2,not provided,not provided,6.92,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD30_2018-06_1_NPL022,7.96,2.895,1,not provided,not provided,not provided,not provided,not provided,8.31,7.3,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD39_2018-06_1_NPL022,35.43,not provided,1,not provided,not provided,not provided,not provided,not provided,7.65,6.05,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD43_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,2.47,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD47_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD48_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD49_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD54_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD55_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD60_2018-06_1_NPL022,50.3,not provided,1,not provided,not provided,not provided,not provided,not provided,8.04,6.24,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD63_2018-06_1_NPL022,53.8,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,5.34575,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD69_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD70_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD74_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD76_2018-06_1_NE08,48.03,not provided,11.5,0.127,1.721,0.033,0.019,3.901,8.5,5.75,not provided,not provided,not provided,not provided,not provided,not provided,1.28,not provided,1552.771,not provided,not provided,not provided,not provided,not provided
OSD77_2018-06_1_NE08,48.42,not provided,12.4,0.153,1.323,0.008,0.01,3.109,8.45,6.12,not provided,not provided,not provided,not provided,not provided,not provided,0.49,not provided,406.588,not provided,not provided,not provided,not provided,not provided
OSD78_2018-06_1_NPL022,49.5,not provided,1,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD81_2018-06_1_NPL022,50.27,not provided,0.2,not provided,not provided,not provided,not provided,not provided,8.19,5.84,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD88_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD91_2018-06_1_NPL022,53.2,not provided,1,not provided,not provided,not provided,not provided,not provided,8,not provided,not provided,5.32,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD92_2018-06_1_NPL022,52.3,not provided,1,not provided,not provided,not provided,not provided,not provided,8,not provided,not provided,4.51,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD93_2018-06_1_NPL022,48,not provided,1,not provided,not provided,not provided,not provided,not provided,8,not provided,not provided,6.32,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD99_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8.3,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD100_2018-06_1_NPL022,40.5,not provided,1,not provided,not provided,not provided,not provided,not provided,8.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD122_2018-06_1_NPL022,62.69,not provided,0.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD141_2018-06_1_NPL022,31.37,1.55,5,not provided,not provided,not provided,not provided,not provided,8.05,9.29,not provided,0.46,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD152_2018-06_1_NPL022,7.96,3.4,1,not provided,0.876,not provided,not provided,not provided,8.11,7.539,70.351,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD153_2018-06_1_NPL022,48,,0.2,not provided,not provided,not provided,not provided,not provided,8.13,8.44,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD159_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD170_2018-06_1_NPL022,41.69,13.333,not provided,2.78,1.440,0.300,0.180,0.439,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD171_2018-06_1_NPL022,41.78,10.469,not provided,1.23,0.509,0.150,0.07,0.180,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD175_2018-06_1_NPL022,42.58,1.336,not provided,0.33,0.059,0.02,0.02,0.150,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD176_2018-06_1_NPL022,42.76,1.800,not provided,0.449,0.100,0.02,0.029,0.109,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD177_2018-06_1_NPL022,43.00,4.323,not provided,0.409,0.270,0.029,0.029,0.219,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD178_2018-06_1_NPL022,42.39,1.004,not provided,0.889,0.469,0.180,0.050,0.310,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD179_2018-06_1_NPL022,42.51,1.222,not provided,0.400,0.389,0.039,0.039,1.149,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD180_2018-06_1_NPL022,42.27,1.176,not provided,0.439,0.170,0.02,0.050,0.560,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD182_2018-06_1_NPL022,42.81,2.077,not provided,0.490,0.270,0.029,0.02,0.379,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD183_2018-06_1_NPL022,42.54,0.717,not provided,0.610,0.219,0.039,0.029,0.839,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD184_2018-06_1_NPL022,42.26,0.973,not provided,0.709,0.330,0.050,0.07,0.759,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD185_2018-06_1_NPL022,42.80,3.887,not provided,0.460,0.569,0.029,0.02,0.059,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD205_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8.32,5.64,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD210_2018-06_1_NPL022,not provided,not provided,not provided,not provided,0.06,0.07,0.07,4.96,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD211_2018-06_1_NPL022,not provided,not provided,not provided,not provided,0.06,0.18,0.15,44.49,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD212_2018-06_1_NPL022,not provided,not provided,0,not provided,not provided,not provided,not provided,not provided,not provided,1.75,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD214_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD216_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD217_2018-06_1_NPL022,not provided,not provided,0,0,0,0,not provided,not provided,8,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD218_2018-06_1_NPL022,not provided,not provided,0,0,0,0,not provided,not provided,8,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD219_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD220_2018-06_1_NPL022,51.37,not provided,1,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD223_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD224_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD227_2018-06_1_NPL022,not provided,2.16,1.25,not provided,not provided,not provided,not provided,not provided,not provided,not provided,1.31,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD228_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD229_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD231_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD232_2018-06_1_NPL022,55.4,not provided,0.3,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD233_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD234_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8.316,5.76,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided